Symbol,Name,Type,Status,ZoneFormed,ZoneAgeM,LTP,TodayLow,Proximal,Distal,GapPct
ARTEMISMED,Artemis Medicare Services Limited,SUPPLY,IN_ZONE,2025-02,19,338.5,332.5,313.7113037109375,348.7895967152651,0.0
GUJRAFFIA,Gujarat Raffia Industries Limited,DEMAND,IN_ZONE,2025-10,11,40.25,40.04999923706055,40.5099983215332,35.45000076293945,0.0
NKIND,NK Industries Limited,DEMAND,IN_ZONE,2024-12,21,57.619998931884766,50.0,52.470001220703125,44.099998474121094,0.0
ZODIAC,Zodiac Energy Limited,DEMAND,IN_ZONE,2026-04,5,222.25,220.10000610351562,251.14715086651333,204.85434414905038,0.0
